time/s,Ewe/V
243100.6998366509,-0.0017011549
243100.7656366599,-0.011714947
243100.8500366728,-0.021745916
243100.9754366926,-0.031759709
243101.1158367144,-0.041790679
243101.2766367416,-0.051838826
243101.4640367706,-0.061855387
243101.671236802,-0.071870036
243101.9152368405,-0.081880875
243102.1896368826,-0.091903158
243102.5144369337,-0.10191781
243102.8856369928,-0.11193246
243103.328237061,-0.1219433
243103.8706371472,-0.1319465
243104.5364372493,-0.1419497
243105.400037386,-0.15196052
243106.6210375777,-0.16196372
243108.5508378767,-0.17197074
243113.6490386757,-0.18197775
243143.6490433696,-0.19103409
243173.6490480634,-0.19468029
243203.6490527573,-0.19709328
243233.6490574512,-0.19929628
243263.649062145,-0.20096092
243293.6490668389,-0.20227049
243323.6490715328,-0.20395043
243353.6490762266,-0.20492785
243383.6490809205,-0.20609616
243413.6490856144,-0.20713848
243443.6490903082,-0.20795171
243473.6490950021,-0.20866185
243503.649099696,-0.20943692
243533.6491043898,-0.21016234
243563.6491090837,-0.21073504
243593.6491137776,-0.21140702
243623.6491184714,-0.21205226
243653.6491231653,-0.2126555
243683.6491278592,-0.21319003
243713.649132553,-0.21383527
243743.6491372469,-0.21425143
243773.6491419408,-0.21469815
243803.6491466346,-0.21520975
243833.6491513285,-0.2156183
243863.6491560224,-0.21622917
243893.6491607162,-0.21655752
243923.6491654101,-0.21706532
243953.6491701039,-0.21735166
243983.6491747978,-0.21777928
244013.6491794917,-0.21796253
244043.6491841855,-0.21837108
244073.6491888794,-0.21871088
244103.6491935733,-0.21902777
244133.6491982671,-0.21939048
244163.649202961,-0.21973793
244193.6492076549,-0.22015026
244223.6492123487,-0.22032209
244253.6492170426,-0.22061224
244283.6492217365,-0.22088332
244313.6492264303,-0.22113913
244343.6492311242,-0.22135295
244373.6492358181,-0.22163166
244403.6492405115,-0.22184166
244433.6492452053,-0.22188365
244463.6492498992,-0.22233416
244493.6492545931,-0.22262053
244523.6492592869,-0.2226778
244553.6492639808,-0.22310542
244583.6492686747,-0.22342612
244613.6492733685,-0.22351776
244643.6492780624,-0.22387284
244673.6492827563,-0.22402173
244703.6492874501,-0.22411337
244733.649292144,-0.22440736
244763.6492968379,-0.22478916
244793.6493015317,-0.22501442
244823.6493062256,-0.22514041
244853.6493109195,-0.22524732
244883.6493156133,-0.22564439
244913.6493203072,-0.22599185
244943.6493250011,-0.225904
244973.6493296949,-0.2261751
245003.6493343888,-0.22669435
245033.6493390827,-0.22690052
245063.6493437765,-0.22709142
245093.6493484704,-0.22722887
245123.6493531642,-0.22728233
245153.6493578581,-0.22754958
245183.649362552,-0.22784357
245213.6493672458,-0.22801156
245243.6493719397,-0.22803828
245273.6493766336,-0.22822538
245303.6493813274,-0.22822155
245333.6493860213,-0.22842772
245363.6493907152,-0.22850026
245393.649395409,-0.22863773
245423.6494001029,-0.22883244
245453.6494047968,-0.22906151
245483.6494094906,-0.22925624
245513.6494141845,-0.2292906
245543.6494188784,-0.22942805
245573.6494235722,-0.22953877
245603.6494282661,-0.2296724
245633.64943296,-0.22995493
245663.6494376534,-0.22985184
245693.6494423472,-0.23023364
245723.6494470411,-0.2301802
245753.649451735,-0.23028328
245783.6494564288,-0.23050855
245813.6494611227,-0.23069564
245843.6494658166,-0.23091707
245873.6494705104,-0.23092471
245903.6494752043,-0.23097052
245933.6494798982,-0.23111561
245963.649484592,-0.23129123
245993.6494892859,-0.23148978
246023.6494939798,-0.23149359
246053.6494986736,-0.23167303
246083.6495033675,-0.23177613
246113.6495080614,-0.2318334
246143.6495127552,-0.2319174
246173.6495174491,-0.23203574
246203.649522143,-0.2321732
246233.6495268368,-0.23230684
246263.6495315307,-0.23224956
246293.6495362245,-0.23226102
246323.6495409184,-0.23244046
246353.6495456123,-0.23234883
246383.6495503061,-0.232513
246413.649555,-0.23258173
246443.6495596939,-0.23268864
246473.6495643877,-0.23275353
246503.6495690816,-0.23295589
246533.6495737755,-0.23305899
246563.6495784693,-0.23325752
246593.6495831632,-0.23337588
246623.6495878571,-0.23329569
246653.6495925509,-0.23347515
246683.6495972448,-0.23358205
246713.6496019387,-0.23368131
246743.6496066325,-0.23390658
246773.6496113264,-0.2339562
246803.6496160203,-0.2341242
246833.6496207141,-0.23397912
246863.649625408,-0.23417002
246893.6496301019,-0.23425019
246923.6496347957,-0.23426928
246953.6496394891,-0.23436855
246983.649644183,-0.2345251
247013.6496488769,-0.23470455
247043.6496535707,-0.23475036
247073.6496582646,-0.23489162
247103.6496629585,-0.23504816
247133.6496676523,-0.23506343
247163.6496723462,-0.23504435
247193.6496770401,-0.23521616
247223.6496817339,-0.23520851
247253.6496864278,-0.23525052
247283.6496911217,-0.2355216
247313.6496958155,-0.23559795
247343.6497005094,-0.2356056
247373.6497052033,-0.23567814
247403.6497098971,-0.23586139
247433.649714591,-0.23575068
247463.6497192848,-0.23583467
247493.6497239787,-0.23599121
247523.6497286726,-0.23610575
247553.6497333664,-0.23610957
247583.6497380603,-0.23619357
247613.6497427542,-0.23615921
247643.649747448,-0.23628519
247673.6497521419,-0.23647992
247703.6497568358,-0.23662119
247733.6497615296,-0.23658301
247763.6497662235,-0.236625
247793.6497709174,-0.23673573
247823.6497756112,-0.23690754
247853.6497803051,-0.23678154
247883.649784999,-0.23685026
247913.6497896928,-0.23685791
247943.6497943867,-0.23689991
247973.6497990806,-0.23709461
248003.6498037744,-0.23712897
248033.6498084683,-0.2372397
248063.6498131622,-0.23723587
248093.649817856,-0.23731226
248123.6498225499,-0.23746115
248153.6498272438,-0.23771314
248183.6498319376,-0.23770168
248213.6498366315,-0.2376215
248243.6498413249,-0.23771314
248273.6498460188,-0.23780096
248303.6498507126,-0.23784678
248333.6498554065,-0.23782004
248363.6498601004,-0.23790404
248393.6498647942,-0.23785822
248423.6498694881,-0.23801857
248453.649874182,-0.23799567
248483.6498788758,-0.23806439
248513.6498835697,-0.23819038
248543.6498882636,-0.2382133
248573.6498929574,-0.23810638
248603.6498976513,-0.23835838
248633.6499023451,-0.23845765
248663.649907039,-0.23857601
248693.6499117329,-0.23868673
248723.6499164267,-0.23862948
248753.6499211206,-0.23857982
248783.6499258145,-0.23860274
248813.6499305083,-0.23888908
248843.6499352022,-0.2387249
248873.6499398961,-0.23883182
248903.6499445899,-0.23895399
248933.6499492838,-0.23900363
248963.6499539777,-0.23890819
248993.6499586715,-0.23901127
249023.6499633654,-0.23901507
249053.6499680593,-0.23911434
249083.6499727531,-0.23923272
249113.649977447,-0.2393396
249143.6499821409,-0.23930143
249173.6499868347,-0.2394007
249203.6499915286,-0.23943506
249233.6499962225,-0.2394236
249263.6500009163,-0.23955724
249293.6500056102,-0.23944652
249323.6500103041,-0.23959543
249353.6500149979,-0.23964505
249383.6500196918,-0.23958778
249413.6500243857,-0.23955342
249443.6500290795,-0.23962596
249473.6500337734,-0.23968706
249503.6500384668,-0.23970233
249533.6500431607,-0.23973288
249563.6500478545,-0.23987414
249593.6500525484,-0.23992376
249623.6500572423,-0.23999631
249653.6500619361,-0.24002685
249683.65006663,-0.2400994
249713.6500713238,-0.24007648
249743.6500760177,-0.24012613
249773.6500807116,-0.24027503
249803.6500854054,-0.24022157
249833.6500900993,-0.24023303
249863.6500947932,-0.24031703
249893.650099487,-0.24049647
249923.6501041809,-0.2405003
249953.6501088748,-0.2405003
249983.6501135686,-0.24049647
250013.6501182625,-0.24051939
250043.6501229564,-0.24099281
250073.6501276502,-0.24097754
250103.6501323441,-0.24082482
250133.650137038,-0.240905
250163.6501417318,-0.24111117
250193.6501464257,-0.24114554
250223.6501511196,-0.24117225
250253.6501558134,-0.24106917
250283.6501605073,-0.2410119
250313.6501652012,-0.24111116
250343.650169895,-0.24122189
250373.6501745889,-0.24125242
250403.6501792828,-0.24125625
250433.6501839766,-0.24118371
250463.6501886705,-0.24138226
250493.6501933644,-0.24141662
250523.6501980582,-0.24152352
250553.6502027521,-0.24166097
250583.650207446,-0.24174495
250613.6502121398,-0.24166478
250643.6502168337,-0.24174877
250673.6502215276,-0.24173732
250703.6502262214,-0.24488337
250733.6502309153,-0.24318436
250763.6502356092,-0.2431958
250793.6502403026,-0.24311563
250823.6502449964,-0.24356997
250853.6502496903,-0.24331418
250883.6502543841,-0.24324162
250913.650259078,-0.2432798
250943.6502637719,-0.24329889
250973.6502684657,-0.24324162
251003.6502731596,-0.24315381
251033.6502778535,-0.24325308
251063.6502825473,-0.24318436
251093.6502872412,-0.243108
251123.6502919351,-0.24321872
251153.6502966289,-0.24303927
251183.6503013228,-0.24311945
251213.6503060167,-0.24312325
251243.6503107105,-0.24327217
251273.6503154044,-0.24321109
251303.6503200983,-0.2430889
251333.6503247921,-0.24319962
251363.650329486,-0.24316145
251393.6503341799,-0.24320726
251423.6503388737,-0.24332181
