time/s,Ewe/V
261280.5628811027,-0.249126
261310.5628857966,-0.24616241
261340.56289049,-0.24498264
261370.5628951839,-0.24450539
261400.5628998777,-0.24435648
261430.5629045716,-0.24435648
261460.5629092655,-0.24434122
261490.5629139593,-0.24443285
261520.5629186532,-0.24452448
261550.5629233471,-0.24466574
261580.5629280409,-0.24481846
261610.5629327348,-0.24494828
261640.5629374287,-0.24516208
261670.5629421225,-0.2453339
261700.5629468164,-0.24549426
261730.5629515104,-0.24576533
261760.5629562043,-0.24572332
261790.5629608981,-0.24579588
261820.562965592,-0.24583407
261850.5629702859,-0.24583024
261880.5629749797,-0.24589515
