Ewe/V,<I>/mA
-0.24946882,-4.281257304228347e-07
-0.25125089,-3.863096870046669e-05
-0.25352889,-7.322101183254498e-05
-0.25403288,-7.664874121676138e-05
-0.25451541,-8.003637667233917e-05
-0.25502178,-8.341782936609134e-05
-0.25552428,-8.666214406124204e-05
-0.2560325,-8.995722897625863e-05
-0.25652009,-9.322804061816368e-05
-0.25701663,-9.645318405765285e-05
-0.25752062,-9.967104162771904e-05
-0.25802866,-0.0001028581590853043
-0.25852415,-0.0001060979054812006
-0.26104656,-0.0001220675723000301
-0.26350489,-0.0001380486979722186
-0.26400745,-0.0001408003423522246
-0.26452377,-0.0001438061638981266
-0.26501814,-0.0001470258686014059
-0.26553339,-0.0001501271304665285
-0.26602507,-0.0001530920892239209
-0.26653308,-0.0001563088727817999
-0.26701245,-0.0001592267492094894
-0.26752043,-0.0001620750018715895
-0.26802424,-0.0001652374348176873
-0.2685174,-0.0001681817405167544
-0.26901072,-0.000170777141395068
-0.26952386,-0.0001738303324230047
-0.27001002,-0.0001771003976163816
-0.27051485,-0.0001799900738761722
-0.27100629,-0.0001832479995925711
-0.2715092,-0.0001863852302179773
-0.2719956,-0.0001889843762775713
-0.27250931,-0.0001916931847955727
-0.27299803,-0.0001948774224392411
-0.27350667,-0.0001981887716856028
-0.2739988,-0.0002009129021408396
-0.27451265,-0.0002037312078971875
-0.27502561,-0.0002068817188450741
-0.27552196,-0.0002099009935018653
-0.27600515,-0.0002128477548871553
-0.27652037,-0.0002158410126395652
-0.27701223,-0.000218726417491174
-0.27752173,-0.0002216304611566641
-0.27802956,-0.0002246634312204733
-0.27852312,-0.0002276714274876347
-0.27901778,-0.0002306558986270436
-0.27953616,-0.0002334742102902956
-0.28002232,-0.0002363999565541597
-0.28051382,-0.0002393895053871735
-0.28101882,-0.0002422727979541776
-0.28150266,-0.0002451755896160017
-0.28199503,-0.0002478701128176765
-0.28250152,-0.0002511043525777901
-0.28299913,-0.0002542283706403661
-0.28350222,-0.0002569848138928471
-0.28400561,-0.0002597214986087282
-0.28450722,-0.0002628014241997335
-0.28497812,-0.0002657003697095193
-0.28548983,-0.0002685895497672227
-0.28598693,-0.0002713205834610289
-0.28648961,-0.0002743193497870542
-0.28700694,-0.0002773612587353208
-0.2875118,-0.0002802539032321265
-0.28798693,-0.000282951102740805
-0.28849387,-0.0002857413713812755
-0.28899598,-0.0002889492520302597
-0.28951207,-0.0002918873555320519
-0.29001093,-0.0002947166999715785
-0.29050344,-0.0002975699974033189
-0.29099977,-0.0003007182643462636
-0.29147318,-0.000303414947531428
-0.29200453,-0.0003061593482319334
-0.29249242,-0.0003091878302425535
-0.29298612,-0.0003121930097302987
-0.29348785,-0.0003151104835894714
-0.29399183,-0.0003178569247244958
-0.29449978,-0.0003206186238458015
-0.29500932,-0.0003234937289393945
-0.29550588,-0.0003266352084918015
-0.29600665,-0.0003295252376860667
-0.29650789,-0.0003322144982154918
-0.29701516,-0.0003349084324881528
-0.2975131,-0.0003383123324359381
-0.2980088,-0.0003413884278415926
-0.29846427,-0.0003437925544176323
-0.29873645,-0.0003450809279456745
-0.29897729,-0.0003459348164580175
-0.29928145,-0.0003346452733105119
-0.299063,-0.0003028950341777753
-0.29857197,-0.0002749104447137106
-0.29804295,-0.0002608755678213323
-0.29754704,-0.0002537630156843516
-0.29705638,-0.0002484625232076106
-0.29653841,-0.0002432902009348739
-0.29603106,-0.0002385329222576093
-0.2955572,-0.0002340615938683853
-0.29503837,-0.0002297575895311254
-0.29455614,-0.0002255145891742055
-0.29405013,-0.0002213037725461477
-0.29354933,-0.000217181285835171
-0.29304093,-0.0002136087339884539
-0.29255474,-0.0002098167977709212
-0.29208067,-0.0002058538283125472
-0.29158202,-0.000202062111687459
-0.29106566,-0.0001986504553601245
-0.29055265,-0.0001951714247870428
-0.29004547,-0.0001916590177744272
-0.2895506,-0.0001882697929768574
-0.28904477,-0.0001848955203563991
-0.28855219,-0.000181561785615891
-0.28805289,-0.0001779009399393129
-0.28757247,-0.000174396411862458
-0.28705934,-0.0001711838675680958
-0.28656834,-0.0001678645344327387
-0.28608194,-0.0001644509897468433
-0.28556079,-0.0001614293457552977
-0.28507546,-0.0001582269192955148
-0.28456363,-0.000154951574215913
-0.28404969,-0.0001517833694311718
-0.28358132,-0.0001485223341468153
-0.28307143,-0.0001452236216984461
-0.28255942,-0.000141936632257124
-0.2820569,-0.0001387395620305911
-0.28158623,-0.0001357567663810046
-0.28106827,-0.0001328009200699831
-0.2805526,-0.0001295681687662623
-0.28005841,-0.0001265255695082321
-0.27956626,-0.0001233871493813792
-0.27908269,-0.00012026583063171
-0.27858144,-0.0001172309907310084
-0.27806586,-0.0001140354168927408
-0.27756965,-0.0001110754702595947
-0.27708989,-0.0001082648666313078
-0.27657574,-0.0001052612216746505
-0.27608448,-0.0001020499098143254
-0.27557796,-9.891133531372851e-05
-0.27508116,-9.59637462461556e-05
-0.27456808,-9.287585695953162e-05
-0.274097,-8.987830632476161e-05
-0.27357793,-8.697810423857191e-05
-0.27307186,-8.368775103951534e-05
-0.27257735,-8.056391196156016e-05
-0.27207068,-7.778597602770801e-05
-0.27158052,-7.491019580272633e-05
-0.27108181,-7.184378576615357e-05
-0.27057913,-6.890074201624835e-05
-0.27007896,-6.583490995513649e-05
-0.26958919,-6.287248910060334e-05
-0.26906633,-5.996647304426788e-05
-0.26856273,-5.703424581685856e-05
-0.26807424,-5.437356027734343e-05
-0.26759216,-5.091794927196804e-05
-0.26707268,-4.781163729856226e-05
-0.26658994,-4.501249821731569e-05
-0.26606876,-4.197496189640862e-05
-0.26358178,-2.723565094008766e-05
-0.26110342,-1.237298822700362e-05
-0.2606003,-9.222152434168275e-06
-0.26007807,-6.140470205195938e-06
-0.25958958,-3.214249044308142e-06
-0.25908309,-3.058517591558305e-07
-0.25459674,2.624149878459629e-05
-0.2500805,5.291308973872375e-05
-0.24957938,5.593371774584364e-05
-0.24909727,5.877402464580817e-05
-0.24857756,6.18689443096325e-05
-0.24809183,6.497085076228367e-05
-0.24760227,6.793091669081804e-05
-0.24709195,7.098500715006572e-05
-0.24658501,7.401400060450555e-05
-0.2460708,7.661921624815149e-05
-0.24559867,7.946530390486061e-05
-0.24506456,8.264702770517337e-05
-0.24456292,8.579002529687406e-05
-0.24408165,8.854511235801502e-05
-0.2435713,9.114062592945798e-05
-0.24308077,9.440375279671176e-05
-0.24257649,9.78955536252396e-05
-0.2420672,0.0001008657352233265
-0.24155793,0.0001037023867630289
-0.24107069,0.0001066594753259169
-0.23857792,0.0001217699708451051
-0.23607185,0.0001366761313908711
-0.23557641,0.0001398975004567545
-0.23508382,0.0001429910193345912
-0.23457354,0.0001455664470692382
-0.23407973,0.0001486493022268935
-0.23359799,0.0001518185178139427
-0.23308811,0.0001547360779349449
-0.23258795,0.0001578585843667996
-0.23208696,0.0001609282344361411
-0.23158029,0.0001639275448850452
-0.23108849,0.0001669349711914108
-0.23059048,0.0001698852199499205
-0.23010175,0.0001728324376152309
-0.22960988,0.0001758779692998507
-0.22908576,0.000179148535490066
-0.22858475,0.0001824543638509484
-0.22808695,0.0001853682721848979
-0.22756065,0.0001878199003065807
-0.22708279,0.0001908919947103033
-0.22659343,0.0001943819562694872
-0.22607695,0.0001972991933682907
-0.22558887,0.0001999116141599162
-0.22508301,0.0002031404681946264
-0.22459473,0.0002062033825967345
-0.22410792,0.0002092291153579801
-0.22361006,0.0002123900544406571
-0.22310886,0.0002155284384436377
-0.22259173,0.0002185104642059604
-0.22210491,0.0002215889929815342
-0.22159608,0.000224678343531397
-0.22109443,0.0002277690151728422
-0.22059725,0.0002306968500158661
-0.22008035,0.0002335145749115079
-0.21959481,0.0002367528967860623
-0.2190728,0.0002399571450816297
-0.2185667,0.0002432445459514076
-0.21809727,0.000246246348810759
-0.2175999,0.0002491763412359037
-0.21710712,0.0002521328589906986
-0.21659151,0.0002552361374236402
-0.21610153,0.00025826506330136
-0.21559903,0.0002617078366205943
-0.21510565,0.0002648941681063308
-0.21461356,0.0002677530557641019
-0.21410534,0.0002708134727274437
-0.2136035,0.0002737882520065169
-0.21308464,0.0002770019994299639
-0.21259722,0.000279999658165184
-0.21211,0.000283009598778907
-0.21160771,0.0002860429882545097
-0.21108805,0.0002890535956962773
-0.21058893,0.0002922818285797874
-0.21010472,0.0002957537574022557
-0.20959064,0.0002989115628560565
-0.20909905,0.0003018653109123724
-0.20859404,0.0003049491143529972
-0.20809706,0.0003080741803218926
-0.20760073,0.0003110228633684325
-0.20710568,0.0003142428423180492
-0.20661609,0.0003176068666343127
-0.20611338,0.0003204788459630339
-0.2056179,0.0003234830026134323
-0.20510478,0.0003267528991609983
-0.20461482,0.0003298268195606018
-0.2041219,0.0003325725015707183
-0.20360771,0.0003355905964107704
-0.20311645,0.0003390748417115433
-0.20258576,0.0003425540819956005
-0.20210028,0.0003455972211577959
-0.20161048,0.0003482514653956898
-0.20110711,0.0003515003030500957
-0.20059425,0.0003550139723571448
-0.2000998,0.0003580384168512989
-0.19960622,0.0003610285070357757
-0.19910543,0.0003642632461412225
-0.19862454,0.0003672968943512233
-0.19811678,0.0003706630892424353
-0.19760324,0.0003738244027705062
-0.19710691,0.0003772201909197487
-0.19661079,0.0003803519853304536
-0.1961087,0.0003835102999329536
-0.19559476,0.0003864647488053697
-0.19508822,0.0003896005788798593
-0.19460042,0.0003928425234374661
-0.19410594,0.0003959418210999714
-0.19359496,0.0003990343811892692
-0.19309627,0.0004021075598790967
-0.19259463,0.0004050333816983917
-0.19210128,0.0004085600617987385
-0.19161977,0.0004122933425808016
-0.19112714,0.000414930620683973
-0.1906029,0.0004177270588519993
-0.19010061,0.0004212448281274794
-0.18960619,0.0004247059378367679
-0.18910944,0.0004278577001025873
-0.18861435,0.0004308417586192542
-0.18809637,0.0004338022105609234
-0.18760724,0.0004372548325288052
-0.18711041,0.0004406160861461245
-0.18661924,0.0004438869152552259
-0.18611674,0.0004469630124124997
-0.18561657,0.0004498199612296763
-0.18510519,0.000453142358781878
-0.18463558,0.0004566173906992103
-0.18412247,0.0004598736516156898
-0.18361643,0.0004626593796622325
-0.1831056,0.0004657249705983459
-0.18261009,0.0004690896122930858
-0.18211229,0.0004724916371169794
-0.18163332,0.0004759529335758433
-0.18110794,0.0004790599486349696
-0.18061285,0.0004819022324900942
-0.18012373,0.000485197800285447
-0.17961256,0.0004883301475770577
-0.17912279,0.0004913763182062044
-0.17862071,0.0004949138260767691
-0.17812732,0.0004983866896239916
-0.17761721,0.000501620745058903
-0.17711683,0.0005049345641223394
-0.17661287,0.0005080812886633238
-0.17611499,0.0005112104167392995
-0.1756191,0.000514581494119034
-0.17511895,0.000517782971723205
-0.17463195,0.0005211210389933028
-0.1741161,0.0005242766943680439
-0.17363267,0.0005274539755730553
-0.17311788,0.0005310098522723263
-0.17261951,0.0005345032632657542
-0.17212796,0.0005376218374564179
-0.17162992,0.0005407907165472696
-0.17112869,0.0005441707497892672
-0.17063256,0.0005476338153163878
-0.17011884,0.000550882480402597
-0.16961974,0.0005539226247627182
-0.16911979,0.0005569948147981295
-0.16860819,0.0005603744044092368
-0.16811648,0.0005641466632368996
-0.16763732,0.0005673193454303694
-0.16713315,0.0005705109686257696
-0.16660117,0.000573735524085346
-0.16611841,0.0005769925944521092
-0.16562311,0.0005803286169760221
-0.16513786,0.0005835426785456106
-0.16463,0.0005865144226441367
-0.16412285,0.0005901734112504327
-0.16363861,0.0005940429264565299
-0.16313674,0.0005973645679828374
-0.16263998,0.0006003363413819218
-0.16213219,0.0006034176298675862
-0.16163266,0.0006069183781855121
-0.16113079,0.0006101428860948309
-0.16063106,0.0006135497298803087
-0.16012453,0.0006170503334201554
-0.15962206,0.0006203583443156859
-0.1591344,0.0006237807742258583
-0.15862235,0.0006271997836948739
-0.15813811,0.0006307281832118039
-0.15765716,0.0006341713763556387
