time/s,Ewe/V
279032.9104329594,-0.25839144
279033.8660322391,-0.24839
279063.866209887,-0.24661441
279093.8663875349,-0.24785542
279123.8665651828,-0.24869548
279153.8667428307,-0.24916515
279183.8669204786,-0.24988684
279213.8670981266,-0.25013122
279243.8672757749,-0.25057799
279273.8674534233,-0.25092927
279303.8676310717,-0.2512691
279333.8678087201,-0.25155932
279363.867986368,-0.25183043
279393.8681640164,-0.25223517
279423.8683416648,-0.25241083
279453.8685193132,-0.25255594
279483.8686969616,-0.25281179
279513.8688746099,-0.25305235
279543.8690522583,-0.25327763
279573.8692299067,-0.25346857
279603.8694075551,-0.25356019
279632.9099859239,-0.25380456
