Ewe/V,<I>/mA
-0.24900097,1.823450247684377e-06
-0.29100797,-0.000312577087766311
-0.33111632,-0.0005994334533170331
-0.33160913,-0.0005961620332123451
-0.33210406,-0.000598454141827123
-0.33259642,-0.0005980806760177348
-0.33311269,-0.00059568003238583
-0.33360577,-0.0005937777842956599
-0.33411339,-0.0005915360577799021
-0.3346062,-0.0005928283643259896
-0.33510134,-0.0006004891916004612
-0.33562276,-0.0006043734523431057
-0.33613124,-0.0006007362191195603
-0.3366136,-0.0005929491155122245
-0.33710918,-0.0005937788523792898
-0.3376289,-0.0006035765284279982
-0.33811006,-0.0006087569779117102
-0.33861452,-0.0006062683389447751
-0.33911431,-0.0006043645471099481
-0.33962491,-0.0006106027174407934
-0.34013471,-0.0006179971446221692
-0.34063599,-0.0006248670887106095
-0.34113175,-0.0006279219641227322
-0.34162813,-0.0006314395029928881
-0.3421222,-0.0006357474931401466
-0.34262708,-0.0006355165552560244
-0.34313834,-0.0006337078614672437
-0.34363729,-0.0006342626173271243
-0.34413362,-0.0006363694398512573
-0.34462819,-0.0006377711456576375
-0.3451581,-0.0006401704724541753
-0.34564835,-0.0006449333150494892
-0.34614152,-0.000654689739584918
-0.34664518,-0.0006664660892662724
-0.34715575,-0.0006693560965989774
-0.34765643,-0.0006664399819176943
-0.34815961,-0.0006663787657830473
-0.3486554,-0.000669782044092748
-0.34913799,-0.0006718981231070191
-0.34964707,-0.0006735229959573474
-0.35015243,-0.000678017138650627
-0.35063607,-0.0006817334329685702
-0.35114226,-0.0006868047464565642
-0.35163996,-0.0006907051231758478
-0.35213524,-0.0006949490369960436
-0.35262448,-0.0006989002832361382
-0.35313955,-0.0006977851977959908
-0.3536168,-0.0006967996037861603
-0.35414252,-0.0006975769072731198
-0.35464168,-0.0006995129594239806
-0.35514483,-0.0007055177141376552
-0.35564256,-0.0007089689500756925
-0.3561298,-0.0007062367190815988
-0.35662195,-0.0007058139096814027
-0.35713574,-0.0007105951637506075
-0.35763577,-0.0007156005326746893
-0.35812622,-0.0007220531522896777
-0.35864109,-0.0007296682770511695
-0.3591294,-0.0007377667094530145
-0.35960588,-0.0007450277929887363
-0.3601082,-0.0007454535046202172
-0.36060143,-0.0007409877223296833
-0.36110207,-0.0007410310037677722
-0.36161885,-0.000748626899520685
-0.36212179,-0.0007585855869196925
-0.36262098,-0.0007649284790979295
-0.36311483,-0.0007663458763326378
-0.36361164,-0.0007691090962638272
-0.36411124,-0.0007755946787289781
-0.36461145,-0.0007847708848540049
-0.36509848,-0.0007899569649857247
-0.36559916,-0.000793733644833856
-0.3660987,-0.0007997620408854407
-0.36659873,-0.0008051466759718996
-0.36711347,-0.0008048798045903003
-0.36760128,-0.0008019174093971283
-0.36811611,-0.000798893536773029
-0.36862507,-0.0007977586894951476
-0.36910623,-0.0007989811934681658
-0.36959833,-0.0008044877066384765
-0.37009984,-0.0008076781425053799
-0.37059924,-0.0008094184181741369
-0.37109834,-0.0008122101674046082
-0.37161157,-0.0008152710579452088
-0.37209594,-0.0008221937603896841
-0.37236765,-0.0008262206916697344
-0.37259778,-0.0008303069426566015
-0.37291533,-0.0008351207760386864
-0.37276936,-0.0008305235817345057
-0.37230733,-0.0008189785520597882
-0.37178782,-0.0008043448239429089
-0.37130389,-0.0007902775328990069
-0.37080008,-0.0007814664173498324
-0.37029332,-0.0007784283458291876
-0.36980861,-0.0007770635710147421
-0.36930412,-0.0007712425283022666
-0.36879501,-0.0007645421036701627
-0.368303,-0.000757558694709181
-0.36779559,-0.0007500756436018986
-0.36730772,-0.0007439224881198712
-0.3668007,-0.0007400910070390239
-0.36629793,-0.0007367676208997632
-0.36578587,-0.0007340605013639485
-0.36530238,-0.0007308045717730181
-0.36479685,-0.0007270363991362166
-0.36429304,-0.0007248379569554583
-0.36380637,-0.0007251520012316742
-0.36330724,-0.0007195876363834085
-0.36282778,-0.0007101085766070929
-0.36233461,-0.0007057910348791073
-0.36181843,-0.0007045286089393168
-0.36130676,-0.0006995421696316321
-0.36080506,-0.0006935358149483505
-0.36030784,-0.0006900809015254073
-0.35980567,-0.0006844905551756878
-0.35933325,-0.0006810206634529268
-0.3588396,-0.0006831201812423776
-0.35835722,-0.0006842949913132366
-0.35785702,-0.0006801324490408201
-0.35735488,-0.0006742506950620387
-0.35683724,-0.000671307196575475
-0.35633811,-0.0006674277201118126
-0.35583025,-0.000657667095193
-0.3553133,-0.0006544155155468058
-0.35481307,-0.0006561190331450667
-0.35433131,-0.0006574893936717495
-0.35381323,-0.0006549190573558149
-0.35332218,-0.0006487813194932333
-0.35283443,-0.0006447259191325572
-0.35233256,-0.0006429262539313601
-0.35183045,-0.0006401984858341696
-0.35135078,-0.0006370044427091687
-0.35083827,-0.0006332993537028055
-0.35033315,-0.0006307139936796817
-0.34982595,-0.0006286149156814516
-0.34932443,-0.0006235880432036026
-0.34883675,-0.0006198872381867615
-0.34833735,-0.000616719966476215
-0.34783271,-0.0006125793877597759
-0.34733313,-0.0006080272712467758
-0.34684265,-0.0006036901776059062
-0.34633815,-0.0005997085347758278
-0.34584031,-0.0005960946309642168
-0.34534603,-0.0005923285437650807
-0.34483224,-0.0005911410388998086
-0.34434158,-0.0005898175992721608
-0.34385431,-0.000587285196767577
-0.34334835,-0.0005854818856379203
-0.34283432,-0.0005823078576617669
-0.34234789,-0.0005794381576615052
-0.34184048,-0.0005757511862611851
-0.34135976,-0.0005676697905140863
-0.34086254,-0.0005606257642890924
-0.34033602,-0.0005604940301795797
-0.33983704,-0.0005612017198641456
-0.33932221,-0.0005614790828716403
-0.33882368,-0.0005579947583437726
-0.33834296,-0.0005549208093456131
-0.33785462,-0.0005546799444952426
-0.33735633,-0.0005530671762783278
-0.33685318,-0.0005503751004585812
-0.3363457,-0.0005464239985249805
-0.3358334,-0.0005402692933987241
-0.33530605,-0.0005343284473282341
-0.33484471,-0.0005281954507971327
-0.33434334,-0.0005218483827910062
-0.33385503,-0.0005178779282249263
-0.33335671,-0.000517627127043889
-0.33285099,-0.0005171041727104837
-0.33235523,-0.0005157914238898918
-0.33185673,-0.0005136736342171442
-0.33134672,-0.0005111671244877585
-0.33085734,-0.0005089091667927008
-0.33035246,-0.0005079503054595856
-0.32985413,-0.000504065436500778
-0.32934627,-0.0005000390282711336
-0.3288382,-0.0004968385200535734
-0.3283526,-0.0004920078835210823
-0.32783905,-0.0004874938412858343
-0.32734266,-0.0004839285433667507
-0.32685411,-0.0004797542238790167
-0.32635263,-0.0004768790555923861
-0.32585534,-0.0004780529961189357
-0.32535365,-0.0004753740123743661
-0.32484898,-0.0004684415880210182
-0.32434666,-0.0004639232155804404
-0.32386383,-0.0004621316225665844
-0.32336745,-0.0004609831353095432
-0.32286298,-0.0004596083538975396
-0.32236171,-0.0004574926906234043
-0.32185912,-0.0004549767656701273
-0.32137206,-0.0004498145541152465
-0.32085425,-0.0004459570579826871
-0.32035658,-0.0004431554255090843
-0.3198595,-0.0004390848308604384
-0.31934488,-0.000434890554903109
-0.31883809,-0.0004329177048660959
-0.31834766,-0.0004321830538511102
-0.31786567,-0.0004301080307750806
-0.31735525,-0.0004279906202605656
-0.31685165,-0.0004235731897400292
-0.31634799,-0.0004182951641403775
-0.31586033,-0.0004150384981282205
-0.31536329,-0.0004118541936030066
-0.31487644,-0.0004075264886422595
-0.31438196,-0.0004038423960958397
-0.313869,-0.0004019426282697901
-0.31337237,-0.0004023365828389721
