time/s,Ewe/V
260847.5546133537,-0.0012624552
260847.6564133694,-0.011295415
260847.8738134033,-0.021345556
260848.1438134441,-0.031378519
260848.4784134985,-0.041425776
260848.8652135576,-0.051460687
260849.3226136309,-0.061480321
260849.8596137139,-0.071496136
260850.5138138164,-0.081504308
260851.2780139372,-0.091520123
260852.1962140799,-0.10152066
260853.3034142526,-0.11152502
260854.6872144694,-0.1215523
260856.3734147332,-0.13156429
260858.5010150657,-0.14157629
260861.351215512,-0.15158446
260865.6112161782,-0.16160028
260872.9592173276,-0.17160846
260892.4290203745,-0.18162809
260922.4290250684,-0.18886407
260952.4290297623,-0.19361421
260982.4290344561,-0.19653153
261012.42903915,-0.19941829
261042.4290438439,-0.201801
261072.4290485377,-0.20366441
261102.4290532316,-0.205524
261132.4290579255,-0.20695972
261162.4290626189,-0.20844512
261192.4290673127,-0.2099496
261222.4290720066,-0.21120204
261252.4290767005,-0.21228267
261282.4290813943,-0.21339002
261312.4290860882,-0.21431409
261342.4290907821,-0.2151427
261372.4290954759,-0.21589111
261402.4291001698,-0.21684954
261432.4291048637,-0.21770106
261462.4291095575,-0.21856022
261492.4291142514,-0.21947666
261522.4291189453,-0.22010288
261552.4291236391,-0.22086275
261582.429128333,-0.22162643
261612.4291330269,-0.22203501
261642.4291377207,-0.2226727
261672.4291424146,-0.22319199
261702.4291471085,-0.2238335
261732.4291518023,-0.22427262
261762.4291564962,-0.22461246
261792.4291611901,-0.22502868
261822.4291658839,-0.22597183
261852.4291705778,-0.22638805
261882.4291752717,-0.22681953
261912.4291799655,-0.22715557
261942.4291846594,-0.22751451
261972.4291893533,-0.22773978
262002.4291940471,-0.22804525
262032.429198741,-0.22843474
262062.4292034348,-0.2287975
262092.4292081287,-0.22882804
262122.4292128226,-0.22918317
262152.42940991,-0.22937791
262182.4295875579,-0.22977503
262212.4297652063,-0.23001559
262242.4299428547,-0.2301034
262272.4301205031,-0.2303898
262302.4302981514,-0.23065709
262332.4304757994,-0.23093201
262362.4306534478,-0.23105039
262392.4308310961,-0.23133296
262422.4310087445,-0.23155825
262452.4311863929,-0.23183699
262482.4313640413,-0.23217301
262512.4315416897,-0.23245175
262542.4317193381,-0.2325014
262572.4318969864,-0.23277251
262602.4320746344,-0.23298252
262632.4322522827,-0.23311998
262662.4324299311,-0.23327655
262692.4326075795,-0.23350184
262722.4327852279,-0.23373094
262752.4329628763,-0.23389132
262782.4331405247,-0.23398297
262812.433318173,-0.23423116
262842.4334958214,-0.23454428
262872.4336734691,-0.2348192
262902.4338511173,-0.23478866
262932.4340287654,-0.23507886
262962.4342064136,-0.23531561
262992.434384062,-0.23518577
263022.4345617101,-0.23548743
263052.4347393583,-0.23545307
263082.4349170064,-0.23542634
263112.4350946546,-0.23572418
263142.4352723022,-0.23580818
263172.4354499504,-0.23575473
263202.4356275987,-0.23572037
263232.4358052469,-0.23591128
263262.4359828954,-0.23605639
263292.4361605437,-0.23615949
263322.4363381919,-0.23624349
263352.4365158401,-0.23640387
263382.4366934884,-0.2366406
263412.4368711362,-0.23669024
263442.4370487845,-0.23675898
263472.4372264327,-0.23688118
263502.437404081,-0.23704153
263532.4375817295,-0.23722866
263562.4377593778,-0.23710264
263592.4379370259,-0.23728211
263622.4381146741,-0.23728974
263652.4382923224,-0.23728211
263682.4384699702,-0.23741195
263712.4386476184,-0.23745394
263742.4388252667,-0.23756467
263772.4390029149,-0.23764105
263802.4391805634,-0.23787397
263832.4393582117,-0.23812218
263862.4395358597,-0.23820618
263892.4397135079,-0.23826727
263922.439891156,-0.23823673
263952.4400688037,-0.23827873
263982.4402464521,-0.23823673
264012.4404241003,-0.23814508
264042.4406017484,-0.23849256
264072.4407793968,-0.23834747
264102.440957045,-0.23844674
264132.4411346929,-0.2384811
264162.441312341,-0.23859565
264192.4414899894,-0.2386453
264222.4416676373,-0.23871402
264252.4418452857,-0.23886678
264282.4420229341,-0.2389126
264312.4422005825,-0.23905769
264342.4423782309,-0.23917224
264372.4425558792,-0.23935553
264402.4427335276,-0.23945862
264432.442911176,-0.23957318
264462.4430888244,-0.23959608
264492.4432664723,-0.23977555
264522.4434441207,-0.23982902
264552.4436217691,-0.2397832
264582.4437994175,-0.23987103
264612.4439770659,-0.23989776
264642.4441547142,-0.24014978
264672.4443323626,-0.24021469
264702.444510011,-0.24028341
264732.4446876594,-0.24050489
264762.4448653073,-0.24086764
264792.4450429557,-0.24087527
264822.4452206041,-0.24089438
264852.4453982525,-0.24098219
264882.4455759004,-0.24094783
264912.4457535483,-0.24095164
264942.4459311962,-0.24100128
264972.4461088441,-0.24105474
265002.4462864921,-0.24109675
265032.44646414,-0.24110439
265062.4466417879,-0.24116547
265092.4468194358,-0.24115403
265122.4469970837,-0.24124184
265152.4471747316,-0.24136022
265182.4473523796,-0.24145949
265212.4475300275,-0.2414595
265242.4477076754,-0.24153587
265272.4478853233,-0.24170007
265302.4480629712,-0.24176116
265332.4482406192,-0.24190627
265362.4484182671,-0.24194062
265392.448595915,-0.24206664
265422.4487735629,-0.24206282
265452.4489512108,-0.24214301
265482.4491288587,-0.24219266
265512.4493065067,-0.24244848
265542.4494841546,-0.24246758
265572.4496618025,-0.24263941
265602.4498394504,-0.24283414
265632.4500170983,-0.24282651
265662.4501947463,-0.24313961
265692.4503723942,-0.24318545
265722.4505500421,-0.24346037
265752.45072769,-0.2429907
265782.4509053379,-0.24302125
265812.4510829858,-0.24301362
265842.4512606338,-0.24295634
265872.4514382817,-0.24303271
265902.4516159296,-0.24301744
265932.4517935775,-0.2429678
265962.4519712254,-0.24311671
265992.4521488734,-0.24313962
266022.4523265213,-0.24305561
266052.4525041692,-0.24312054
266082.4526818171,-0.24310145
266112.452859465,-0.24318545
266142.453037113,-0.2432771
266172.4532147609,-0.24337636
266202.4533924088,-0.24330001
266232.4535700567,-0.24339546
266262.4537477046,-0.24335729
266292.4539253525,-0.24347566
266322.4541030005,-0.24346037
266352.4542806484,-0.24347946
266382.4544582963,-0.24333437
266412.4546359442,-0.24332291
266442.4548135921,-0.24341838
266472.4549912401,-0.24358256
266502.455168888,-0.24359402
266532.4553465359,-0.24358256
266562.4555241838,-0.24405223
266592.4557018317,-0.2440026
266622.4558794796,-0.24427752
266652.4560571276,-0.24427371
266682.4562347755,-0.24469756
266712.4564124234,-0.24461737
266742.4565900713,-0.2450985
266772.4567677192,-0.24466701
266802.4569453672,-0.24501449
266832.4571230151,-0.24507558
266862.457300663,-0.24509086
266892.4574783109,-0.24562161
266922.4576559588,-0.24542688
266952.4578336068,-0.24574001
266982.4580112547,-0.24789742
267012.4581889026,-0.24794325
267042.4583665505,-0.24784778
267072.4585441984,-0.24546126
267102.4587218463,-0.2467137
267132.4588994943,-0.24687026
267162.4590771422,-0.24648459
267192.4592547901,-0.24660297
267222.459432438,-0.24670607
267252.4596100859,-0.2462402
267282.4597877339,-0.24593474
267312.4599653818,-0.24617147
267342.4601430297,-0.24653041
267372.4603206776,-0.24670225
267402.4604983255,-0.24670605
267432.4606759734,-0.24638914
267462.4608536214,-0.24669842
267492.4610312697,-0.2470459
267522.4612089181,-0.2470841
267552.4613865665,-0.24677098
267582.4615642149,-0.24709937
267612.4617418633,-0.24724065
267642.4619195112,-0.24722919
267672.4620971596,-0.2474163
267702.462274808,-0.24731703
267732.4624524564,-0.24726357
267762.4626301047,-0.24755377
267792.4628077531,-0.2474774
