time/s,Ewe/V
236503.2962044087,-0.0015029712
236503.382604422,-0.011518752
236503.5820044519,-0.021586072
236503.8452044943,-0.031653393
236504.1638045446,-0.041658703
236504.5376046025,-0.051663063
236504.9694046704,-0.061682697
236505.502204753,-0.071694694
236506.1146048484,-0.081702866
236506.8954049707,-0.091711044
236507.8228051178,-0.10172686
236508.9638052965,-0.11173122
236510.3956055185,-0.12174322
236512.2738058134,-0.13175903
236514.7804062057,-0.14177485
236518.5246067918,-0.15177539
236525.2978078509,-0.16177592
236540.9846103052,-0.17177646
236570.9846149991,-0.18066584
236600.984619693,-0.18527853
236630.984624387,-0.18905881
236660.9846290808,-0.19190738
236690.9846337747,-0.19404571
236720.9846384686,-0.19572583
236750.9846431624,-0.19761597
236780.9846478563,-0.19903262
236810.9846525502,-0.20107931
236840.984657244,-0.20201865
236870.9846619379,-0.20348494
236900.9846666318,-0.20450827
236930.9846713254,-0.20561182
236960.9846760193,-0.20661989
236990.9846807131,-0.2073072
237020.984685407,-0.20848331
237050.9846901009,-0.2091248
237080.9846947947,-0.21010615
237110.9846994886,-0.21103403
237140.9847041825,-0.21154188
237170.9847088763,-0.21230558
237200.9847135702,-0.21314946
237230.9847182641,-0.21406971
237260.9847229579,-0.21461193
237290.9847276518,-0.21539088
237320.9847323456,-0.2159293
237350.9847370395,-0.21647534
237380.9847417334,-0.21723521
237410.9847464272,-0.21789198
237440.9847511211,-0.21856785
237470.9847558149,-0.21921317
237500.9847605088,-0.2199654
237530.9847652022,-0.22045034
237560.9847698961,-0.22108421
237590.9847745899,-0.22166844
237620.9847792838,-0.22222592
237650.9847839777,-0.22241686
237680.9847886715,-0.22267269
237710.9847933654,-0.22303925
237740.9847980593,-0.22353567
237770.9848027531,-0.22395569
237800.984807447,-0.22450937
237830.9848121409,-0.2249103
237860.9848168347,-0.22511269
237890.9848215286,-0.2251547
237920.9848262226,-0.22535706
237950.9848309165,-0.22533797
237980.9848356103,-0.22518525
238010.9848403042,-0.22537616
238040.9848449981,-0.22574656
238070.9848496919,-0.2260024
238100.9848543858,-0.22653314
238130.9848590797,-0.22651787
238160.9848637735,-0.22672024
238190.9848684674,-0.22695318
238220.984873161,-0.22728539
238250.9848778549,-0.22746868
238280.9848825487,-0.22782761
238310.9848872426,-0.22793452
238340.9848919365,-0.22819036
238370.9848966303,-0.22822472
238400.9849013242,-0.22896934
238430.9849060181,-0.22922517
238460.9849107119,-0.22933972
238490.9849154058,-0.22926717
238520.9849200997,-0.22950771
238550.9849247935,-0.22956118
238580.9849294874,-0.22993539
238610.9849341813,-0.23039743
238640.9849388751,-0.23051961
238670.984943569,-0.23091292
238700.9849482629,-0.23118022
238730.9849529567,-0.23132913
238760.9849576506,-0.23148951
238790.9849623445,-0.23172244
238820.9849670379,-0.23203173
238850.9849717317,-0.2321081
238880.9849764256,-0.23241358
238910.9849811195,-0.23183316
238940.9849858133,-0.23195536
238970.9849905072,-0.23211575
239000.9849952011,-0.23216155
239030.9849998949,-0.23243266
239060.9850045888,-0.2324823
239090.9850092827,-0.23265031
239120.9850139765,-0.2328527
239150.9850186704,-0.23304363
239180.9850233644,-0.2331658
239210.9850280582,-0.23331091
239240.9850327521,-0.23331091
239270.985037446,-0.23355912
239300.9850421398,-0.23362403
239330.9850468337,-0.2337195
239360.9850515276,-0.2340517
239390.9850562214,-0.23415479
239420.9850609153,-0.23428462
239450.9850656092,-0.23429608
239480.9850703028,-0.23442972
239510.9850749967,-0.23441063
239540.9850796905,-0.23472373
239570.9850843844,-0.23489176
239600.9850890783,-0.23498721
239630.9850937721,-0.23499486
239660.985098466,-0.23530033
239690.9851031599,-0.23527361
239720.9851078537,-0.23544542
239750.9851125476,-0.23559053
239780.9851172414,-0.23559818
239810.9851219353,-0.23573564
239840.9851266292,-0.23581582
239870.985131323,-0.23598766
239900.9851360169,-0.23597237
239930.9851407108,-0.23589219
239960.9851454046,-0.23589982
239990.9851500985,-0.23594564
240020.9851547924,-0.23603348
240050.9851594862,-0.23621294
240080.9851641796,-0.23630458
240110.9851688735,-0.23664825
240140.9851735674,-0.23661388
240170.9851782612,-0.23685063
240200.9851829551,-0.23694228
240230.985187649,-0.23698428
240260.9851923428,-0.23703009
240290.9851970367,-0.23728211
240320.9852017306,-0.23733556
240350.9852064244,-0.23740812
240380.9852111183,-0.23743865
240410.9852158122,-0.23750359
240440.985220506,-0.23720193
240470.9852252,-0.2373012
240500.9852298939,-0.23751122
240530.9852345877,-0.23764868
240560.9852392816,-0.23786634
240590.9852439755,-0.23790833
240620.9852486693,-0.2382291
240650.9852533632,-0.23818326
240680.9852580571,-0.23840855
240710.9852627509,-0.23863766
240740.9852674448,-0.2386644
240770.9852721384,-0.23871402
240800.9852768323,-0.23880567
240830.9852815262,-0.23879041
240860.98528622,-0.23903096
240890.9852909139,-0.2388095
240920.9852956078,-0.23904242
240950.9853003016,-0.23887441
240980.9853049955,-0.23904242
241010.9853096894,-0.23911497
241040.9853143832,-0.23907678
241070.9853190771,-0.2392028
241100.985323771,-0.23941663
241130.9853284648,-0.23933262
241160.9853331587,-0.23934026
241190.9853378526,-0.23944336
241220.9853425464,-0.23953499
241250.9853472403,-0.2397832
241280.9853519341,-0.23984048
241310.985356628,-0.2399092
241340.9853613218,-0.23964955
241370.9853660152,-0.23966101
241400.9853707091,-0.23979083
241430.985375403,-0.23964955
241460.9853800968,-0.23968391
241490.9853847907,-0.23994356
