Ewe/V,<I>/mA
-0.2478096,2.051027649940806e-06
-0.24817008,1.828501239144856e-06
-0.24801843,4.2077190374766e-07
-0.24777275,-3.680090089717335e-06
-0.25009209,-2.227824101714128e-05
-0.2526432,-3.707595823875128e-05
-0.25314638,-3.932039880038678e-05
-0.25363302,-4.164073893072625e-05
-0.25412261,-4.308328081808388e-05
-0.25462437,-4.492204640074409e-05
-0.25512797,-4.692869142083412e-05
-0.25561145,-4.807475608214671e-05
-0.25612602,-4.959756741603361e-05
-0.25664854,-5.194647618972522e-05
-0.25713044,-5.359868317700615e-05
-0.25763011,-5.49335558541012e-05
-0.25812927,-5.692576670063071e-05
-0.25862503,-5.909039076936178e-05
-0.25911355,-6.094870450902459e-05
-0.25962949,-6.171096031350849e-05
-0.26012737,-6.273210601648332e-05
-0.2606397,-6.44308156215296e-05
-0.26112929,-6.680885893796656e-05
-0.26163566,-6.870486468970823e-05
-0.26211128,-6.94632612218513e-05
-0.26262337,-7.144476724837021e-05
-0.26309922,-7.432064578299306e-05
-0.26363105,-7.573178888580759e-05
-0.26411596,-7.660885782772447e-05
-0.26464504,-7.815718506915654e-05
-0.26514715,-8.015342058132337e-05
-0.26562342,-8.152449960882103e-05
-0.26613191,-8.270779118093805e-05
-0.2666215,-8.398545983928488e-05
-0.26711982,-8.556917222685297e-05
-0.26761603,-8.781993786518161e-05
-0.26812029,-8.950338459120188e-05
-0.26861465,-9.087389082153284e-05
-0.26911983,-9.273027230678744e-05
-0.26960945,-9.443466099044064e-05
-0.27012154,-9.563552240858102e-05
-0.27063194,-9.716112728912945e-05
-0.2711224,-9.881171323892505e-05
-0.27161816,-0.0001000494529998159
-0.27212158,-0.0001011418158096025
-0.27261457,-0.0001027817519469766
-0.27312201,-0.0001047906139825107
-0.27362204,-0.0001062743810878064
-0.27411821,-0.0001076451976587121
-0.27462095,-0.0001087869224176292
-0.27714163,-0.0001170787959415479
-0.2796042,-0.0001248448194269298
-0.2800971,-0.0001257860668138835
-0.28061634,-0.0001275427590809604
-0.28109434,-0.0001291226077834529
-0.28159282,-0.0001299358418017849
-0.28207967,-0.0001318837883243555
-0.28258884,-0.000133899373765787
-0.28310385,-0.0001353506114288325
-0.2835899,-0.0001365521188745327
-0.28408459,-0.0001381722714305154
-0.28459603,-0.0001398618580457926
-0.28510731,-0.0001416173497967026
-0.28559878,-0.000143520943833277
-0.28609142,-0.0001447796646263867
-0.28659543,-0.0001460115172954423
-0.28710583,-0.0001472232496005882
-0.28760034,-0.0001482898922033739
-0.28810224,-0.0001494616688567621
-0.28860354,-0.0001510843689579316
-0.28910118,-0.0001526087471406575
-0.28959399,-0.0001541555560901605
-0.29009697,-0.0001563279661577661
-0.29059041,-0.0001576636092168997
-0.29108319,-0.0001582736137011867
-0.29158404,-0.0001598753729686675
-0.29207152,-0.0001622109162882322
-0.2925745,-0.0001637865208168575
-0.29307005,-0.0001654189365109682
-0.29357901,-0.0001672226095016179
-0.29407007,-0.0001687116041803496
-0.29458851,-0.0001701155510494953
-0.29508683,-0.0001711912813233442
-0.29558644,-0.0001722592812627571
-0.29606825,-0.0001736578665827442
-0.29629636,-0.0001746071240631866
-0.29656649,-0.0001755546466450089
-0.29687324,-0.000174684816725117
-0.29672685,-0.0001685369255331652
-0.29626444,-0.0001598053904167005
-0.29572517,-0.0001516482892232786
-0.29523766,-0.0001458732726523194
-0.29473683,-0.0001413116293844253
-0.29424357,-0.000136705379881513
-0.29373744,-0.0001321500499384624
-0.29322514,-0.000128829384956826
-0.29274064,-0.0001261962914192044
-0.29223955,-0.0001229793586356163
-0.2917504,-0.000119468571332011
-0.29124379,-0.000116226311059074
-0.29072681,-0.0001140446366931685
-0.29022887,-0.0001119962455588935
-0.28976095,-0.0001098546464769843
-0.28924078,-0.0001075881224197573
-0.28873226,-0.0001060297743235961
-0.28822145,-0.0001045748393287927
-0.28772762,-0.0001024383874479371
-0.28724542,-0.0001004645119724898
-0.28674755,-9.87499145897649e-05
-0.28624645,-9.683534697749748e-05
-0.28574666,-9.440270285402428e-05
-0.28525048,-9.244784168745264e-05
-0.28475282,-9.075769271812842e-05
-0.28427193,-8.868380838841327e-05
-0.28377423,-8.654172596901882e-05
-0.28326192,-8.468929650849353e-05
-0.28275216,-8.318566783263679e-05
-0.28225535,-8.17058608272755e-05
-0.28174922,-7.99505923067855e-05
-0.28126627,-7.819329011051864e-05
-0.28077212,-7.6674505239512e-05
-0.28027737,-7.558435183657058e-05
-0.27977651,-7.346215662201505e-05
-0.27926549,-7.087348907825115e-05
-0.27877289,-6.921251653053593e-05
-0.2782689,-6.828743239903204e-05
-0.27777246,-6.706169283966638e-05
-0.27726588,-6.553450521096314e-05
-0.27677351,-6.359083565459764e-05
-0.2762807,-6.153492157594546e-05
-0.2757642,-6.023359003814197e-05
-0.2752614,-5.894665375510391e-05
-0.27476925,-5.69125379065046e-05
-0.27426904,-5.474375721961308e-05
-0.27375948,-5.33074731989742e-05
-0.27326965,-5.194987927468355e-05
-0.27277344,-5.054975440543807e-05
-0.27227411,-4.903593772151337e-05
-0.27176729,-4.725852631037446e-05
-0.2712709,-4.549761817324225e-05
-0.27077833,-4.417256244087825e-05
-0.26829118,-3.651422435244642e-05
-0.26579461,-2.8645947184958e-05
-0.26528314,-2.587700798897097e-05
-0.26478013,-2.390266050682536e-05
-0.26424876,-2.316179592930371e-05
-0.26376277,-2.191519414046321e-05
-0.26328442,-2.001427002453599e-05
-0.26278526,-1.898274745649876e-05
-0.26229116,-1.813708553089337e-05
-0.26179585,-1.637718502336255e-05
-0.26126972,-1.456368055498928e-05
-0.26077375,-1.266977536021016e-05
-0.26026696,-1.069916255279105e-05
-0.25977692,-9.502007692937563e-06
-0.25925723,-7.71537190547422e-06
-0.25875676,-5.5304613537793e-06
-0.25825441,-4.517276357352852e-06
-0.25777879,-3.878522518460953e-06
-0.25327903,1.045488544192505e-05
-0.24876152,2.464139133819649e-05
-0.24824835,2.587045931132123e-05
-0.24777114,2.782190702663449e-05
-0.24725662,3.02002908433175e-05
-0.24677697,3.197677779098762e-05
-0.24626315,3.267794936282007e-05
-0.24577591,3.380033474429528e-05
-0.24526699,3.597596597265424e-05
-0.2447695,3.773608239885935e-05
-0.24427927,3.91948790323752e-05
-0.24378179,4.03225605951875e-05
-0.24325724,4.190336667980548e-05
-0.24275675,4.4007710206036e-05
-0.24224785,4.597477327563499e-05
-0.24175209,4.675249571122289e-05
-0.24127689,4.804416290779857e-05
-0.2407784,5.059131700801544e-05
-0.24027644,5.262591304455347e-05
-0.23976816,5.328279125596622e-05
-0.23927775,5.418592374755663e-05
-0.23878664,5.614888687819947e-05
-0.23828073,5.792470141454081e-05
-0.23776776,5.913347352496301e-05
-0.23727751,6.058344385766944e-05
-0.23677982,6.182952123860242e-05
-0.23627494,6.329354886879082e-05
-0.23578703,6.52916418638838e-05
-0.2352847,6.743740424200082e-05
-0.23480503,6.869666787712972e-05
-0.23429783,7.016556585565735e-05
-0.23379104,7.133951140969174e-05
-0.23328385,7.283796200378335e-05
-0.23278849,7.521561332800449e-05
-0.23228952,7.708438853047455e-05
-0.23179294,7.869297921927337e-05
-0.23128933,8.00737309755615e-05
-0.2307997,8.161062545595019e-05
-0.23029692,8.318312742024653e-05
-0.22979668,8.456086459739717e-05
-0.22928038,8.562026281382432e-05
-0.22880158,8.697145121745742e-05
-0.22830115,8.91403930280729e-05
-0.2278073,9.120578133829551e-05
-0.22730008,9.248168436426148e-05
-0.22681452,9.418226290512882e-05
-0.22630091,9.615641343535368e-05
-0.22578478,9.791004832651413e-05
-0.22530901,9.943321059693866e-05
-0.22479728,0.0001012332432192461
-0.22431745,0.0001021059249608331
-0.22380023,0.0001032992211515164
-0.22329623,0.0001054363927290034
-0.22280489,0.0001081511988256058
-0.22230297,0.0001092448119716536
-0.22180256,0.0001095274381070887
-0.21729165,0.0001246188466521511
-0.21677725,0.0001270674947591044
-0.21629739,0.0001298157452496247
-0.21579483,0.0001305339938981989
-0.2152891,0.0001313751545913637
-0.21478719,0.000133110371094786
-0.21429147,0.0001342673034966074
-0.21381813,0.0001350098214229697
-0.21331455,0.0001366606898887702
-0.21280816,0.0001387175768825348
-0.21231477,0.0001407690018890271
-0.21180882,0.0001424104961760926
-0.21130687,0.0001439956943243127
-0.21080731,0.0001458470816133838
-0.21029288,0.0001479683220269286
-0.20981665,0.0001493565460232624
-0.20931177,0.0001501015324349821
-0.20882002,0.0001516543996802752
-0.20831089,0.0001542242059965953
-0.20782085,0.0001558415716250163
-0.20731513,0.0001568128025576671
-0.20679963,0.000158704283674321
-0.20630853,0.000160372965082286
-0.20579599,0.000161958710982112
-0.2053276,0.0001640103149569504
-0.20482379,0.0001652837840993009
-0.20430024,0.0001666498102100308
-0.20379956,0.0001689041553079185
-0.20332526,0.0001705526716688378
-0.20283504,0.000171799118012286
-0.20232652,0.0001735020876670497
-0.20181781,0.0001758018395742484
-0.20131716,0.0001777172928996177
-0.20081207,0.0001791840654227091
-0.20030971,0.0001805834965159245
-0.19980083,0.0001825336491526317
-0.1992972,0.0001838723597184424
-0.19880462,0.000185832925648422
-0.19831035,0.0001880363899410317
-0.19782667,0.0001899820755776704
-0.19732836,0.0001917886462521252
-0.19684194,0.0001935573255414738
-0.19634554,0.0001953402722089468
-0.19584553,0.0001977737891946984
-0.19531792,0.0001992526565151851
-0.19484806,0.0001999191664018092
-0.19434445,0.000201830469045995
-0.19383404,0.0002045298526556702
-0.19332173,0.0002051416314417217
-0.19284166,0.0002052916498642946
-0.19232576,0.00020737425832825
-0.19183047,0.0002106645037274662
-0.1913251,0.0002121828941165386
-0.19083932,0.0002127911433220748
-0.19033124,0.0002142365114600092
-0.18982913,0.0002169551375185682
-0.18931596,0.0002208317245175656
-0.18881573,0.0002230801688643536
-0.18831894,0.0002244069913070222
-0.18783672,0.0002259392006265081
-0.18732147,0.000228419436872947
-0.18679684,0.0002303024792261706
-0.18632799,0.0002316245346028834
-0.18583374,0.0002325089528514776
-0.18532272,0.0002333026474877469
-0.18483628,0.0002348702846238328
-0.18435602,0.0002377239220044841
-0.18383901,0.0002394311226857483
-0.18333541,0.0002408166636558707
-0.1828161,0.0002425826709845239
-0.18232606,0.000245041049142687
-0.18181758,0.0002463489428110835
-0.18133453,0.000247648076192826
-0.18082562,0.0002488051611888088
-0.18031752,0.0002505091633576645
-0.17980736,0.0002529733258227291
-0.17930777,0.0002547050901705854
-0.17882094,0.0002557681527495929
-0.17832261,0.0002577386393130391
-0.17781815,0.0002606608093763635
-0.17731774,0.0002618621558751863
-0.17682432,0.0002627881735693168
-0.17633915,0.0002650040834042666
-0.17582619,0.0002676109434442321
-0.17532875,0.0002686922179135623
-0.17483297,0.0002692186779785066
-0.17434144,0.0002712098548390378
-0.17384443,0.0002735114782842218
-0.17334121,0.0002741685994570361
-0.172841,0.0002755991557663691
-0.17235184,0.0002781852894326313
-0.17183356,0.0002803021700148937
-0.17133908,0.0002815865695487856
-0.17083675,0.0002823426408819297
-0.17034756,0.0002847967162206604
-0.16982719,0.0002880437734212905
-0.16934928,0.0002892760709010654
-0.16883969,0.0002909735857664813
-0.16833651,0.0002931228702638899
-0.16783841,0.0002954655400470912
-0.16733415,0.0002963010714059529
-0.16684455,0.0002972461865687758
-0.16633753,0.0002984198286800108
-0.16584134,0.0003003934306670336
-0.1653458,0.0003024517551845417
-0.16485514,0.0003040057988780787
-0.16434281,0.000306284454449338
-0.16387655,0.00030852917801962
-0.16337611,0.0003111944919577626
-0.16285999,0.0003139608659492059
-0.16237356,0.0003155444834124818
-0.16186909,0.0003153906967849327
-0.16137291,0.0003168732188930387
-0.16086102,0.0003186135401712677
-0.16036314,0.000320128893454913
-0.15985297,0.0003229737713236645
