Ewe/V,<I>/mA
-0.20783444,0.0001795611289741861
-0.20734526,0.0001814837911566709
-0.20683083,0.0001821798731287891
-0.20633209,0.0001827555329496269
-0.20585181,0.0001839293967080923
-0.20534775,0.0001857835647940619
-0.20485224,0.0001873444960067516
-0.20433696,0.0001889843685300249
-0.20383716,0.0001908913093892019
-0.20332766,0.0001927355451657275
-0.20287022,0.0001936313865371557
-0.20236917,0.0001948803975311524
-0.20187129,0.0001977469511513361
-0.20136766,0.0002002103828999649
-0.20086044,0.000201563622087831
-0.20035364,0.0002026069212795931
-0.1998477,0.0002042858331723968
-0.19935492,0.000204932037713987
-0.19884579,0.0002057432561910146
-0.19836402,0.0002076615368490895
-0.19786339,0.0002093276209928271
-0.19734873,0.0002101739744291503
-0.19686314,0.0002110916575138314
-0.1963551,0.0002123011433839
-0.19586144,0.0002138559426991147
-0.19538349,0.0002155454922103612
-0.19487289,0.0002168730770790639
-0.19436246,0.0002181970132234682
-0.19386375,0.0002198919022433684
-0.1933686,0.0002215939972908601
-0.19287413,0.0002235092850376699
-0.1923735,0.000225830234537882
-0.19187157,0.0002277577199515258
-0.19134864,0.0002294880021980602
-0.19085778,0.0002306219168059726
-0.19036052,0.0002315321088207003
-0.18986158,0.0002325918983640636
-0.18935882,0.0002352041267470366
-0.18884563,0.0002371186226608054
-0.18836389,0.0002382283756324514
-0.1878556,0.0002389082410108627
-0.1873762,0.0002405861809569969
-0.18687363,0.0002432856036749596
-0.18637681,0.0002451836478737966
-0.18586215,0.0002458491667817409
-0.18537574,0.00024648724421342
-0.1848719,0.0002474724250431646
-0.18438019,0.0002497302261030288
-0.18388228,0.0002508750719277517
-0.18337846,0.0002509901200432444
-0.18288524,0.0002523026794531478
-0.18235981,0.0002547594259104443
-0.18187378,0.0002566703446131291
-0.18137845,0.0002578280021865451
-0.18085296,0.000259966214432099
-0.18037143,0.0002630034529863233
-0.1798763,0.0002649388017609343
-0.17936973,0.0002661242919943861
-0.17887352,0.0002675657123189807
-0.1783572,0.0002693051956831117
-0.17786251,0.0002711459610846264
-0.17736401,0.0002726015885585846
-0.17688052,0.0002732699712632127
-0.17640258,0.0002738122437693602
-0.17588665,0.0002750554771477373
-0.17537136,0.0002769274079010261
-0.17489004,0.0002786879833230915
-0.17437857,0.000279511331629905
-0.1738686,0.0002802738762410553
-0.17339233,0.0002824115437289375
-0.17287855,0.0002848372071268949
-0.17235586,0.0002870739209120689
-0.17188109,0.0002879869718728673
-0.1713796,0.0002889695190754524
-0.17086473,0.0002907342819458724
-0.17036559,0.000292573274203246
-0.16986495,0.000294594421339521
-0.16938129,0.0002956379584028981
-0.1688645,0.0002969515567706848
-0.1683906,0.0002984979704773799
-0.16788465,0.0003002774109754055
-0.16737956,0.0003021458649662269
-0.16687828,0.0003030798315766777
-0.16637932,0.0003049824182636692
-0.16586788,0.000307248942590389
-0.1653543,0.0003083964901533206
-0.16485004,0.0003095046257065518
-0.16433796,0.0003108707110018186
