time/s,Ewe/V
254681.7974486484,-0.24691537
254711.7974533423,-0.24084091
254741.7974580362,-0.24084091
254771.7974627296,-0.2409631
254801.7974674234,-0.24102801
254831.7974721173,-0.24158168
254861.7974768112,-0.24185281
254891.797481505,-0.24105474
254921.7974861989,-0.24121512
254951.7974908928,-0.24142514
254981.7974955866,-0.24143277
255011.7975002805,-0.24165806
255041.7975049744,-0.24166571
255071.7975096682,-0.24184899
255101.7975143621,-0.2420781
255131.797519056,-0.24210483
255161.7975237499,-0.24223465
255191.7975284438,-0.24232629
255221.7975331377,-0.24250194
255251.7975378315,-0.24269669
255281.7975425254,-0.24290287
