time/s,Ewe/V
255281.850142533,-0.24318737
255281.9839425548,-0.23308569
255282.1709425841,-0.22303554
255282.4765426316,-0.21300259
255282.9323427039,-0.20299235
255283.7473428312,-0.19298801
255290.7725439295,-0.18298747
255300.7725454941,-0.18208249
255310.7725470588,-0.18184574
255320.7725486234,-0.18019617
255330.772550188,-0.17948593
255340.7725517526,-0.17914227
255350.7725533172,-0.1784053
255360.7725548819,-0.17742397
255370.7725564465,-0.17721777
255380.7725580111,-0.1756102
255390.7725595757,-0.17459066
255400.7725611404,-0.17441121
255410.772562705,-0.17367043
255420.7725642696,-0.17348713
255430.7725658342,-0.17338786
255440.7725673988,-0.1725478
255450.7725689635,-0.17200176
255460.7725705281,-0.1714099
255470.7725720927,-0.17086385
255480.7725736573,-0.17055456
255490.772575222,-0.16975267
255500.7725767866,-0.16881335
255510.7725783512,-0.16835514
255520.7725799158,-0.16755326
255530.7725814804,-0.16598386
255540.7725830451,-0.16539581
255550.7725846097,-0.16532709
255560.7725861743,-0.16431902
255570.7725877389,-0.16341786
255580.7725893036,-0.16370425
255590.7725908682,-0.16313148
255600.7725924328,-0.16205086
255610.7725939974,-0.16158119
255620.772595562,-0.16133298
255630.7725971267,-0.16004616
255640.7725986913,-0.15938175
255650.7726002559,-0.15887007
255660.7726018205,-0.15872498
255670.7726033852,-0.15760998
255680.7726049498,-0.15677756
255690.7726065144,-0.15657137
255700.772608079,-0.15594132
255710.7726096436,-0.15554038
255720.7726112083,-0.15445976
255730.7726127724,-0.15338677
255740.772614337,-0.15281783
255750.7726159017,-0.15194723
255760.7726174663,-0.15172574
255770.7726190309,-0.15097733
255780.7726205955,-0.1497096
255790.7726221601,-0.148881
255800.7726237248,-0.14909483
255810.7726252894,-0.14740326
255820.772626854,-0.14681904
255830.7726284186,-0.14643718
255840.7726299833,-0.14616226
255850.7726315479,-0.14533748
255860.7726331125,-0.14485252
255870.7726346771,-0.14479907
255880.7726362417,-0.14360389
255890.7726378064,-0.14296621
255900.772639371,-0.14230944
255910.7726409356,-0.14126317
255920.7726425002,-0.14086987
255930.7726440649,-0.14024365
255940.7726456295,-0.13924322
255950.7726471941,-0.13886137
255960.7726487587,-0.13819695
255970.7726503233,-0.13753255
255980.772651888,-0.1362648
255990.7726534526,-0.13697124
256000.7726550172,-0.1350811
256010.7726565818,-0.13467634
256020.7726581465,-0.13461143
256030.7726597111,-0.13350406
256040.7726612757,-0.1327251
256050.7726628403,-0.13195759
256060.7726644049,-0.13162921
256070.7726659696,-0.13120535
256080.7726675342,-0.12989563
256090.7726690988,-0.12880737
256100.7726706634,-0.12773819
256110.772672228,-0.12691723
256120.7726737927,-0.12589771
256130.7726753573,-0.12553114
256140.7726769219,-0.12452306
256150.7726784865,-0.12362954
256160.7726800512,-0.12341952
256170.7726816158,-0.12261001
256180.7726831804,-0.12206779
256190.772684745,-0.1227742
256200.7726863096,-0.12114372
256210.7726878743,-0.1204373
256220.7726894389,-0.11988745
256230.7726910035,-0.11858918
256240.7726925681,-0.11853571
256250.7726941328,-0.117436
256260.7726956974,-0.11669903
256270.772697262,-0.11546567
256280.7726988266,-0.11447287
256290.7727003912,-0.11477453
256300.7727019559,-0.11412539
256310.7727035205,-0.1130944
256320.7727050851,-0.11296458
256330.7727066497,-0.11175031
256340.7727082144,-0.11099808
256350.772709779,-0.1105895
256360.7727113436,-0.10997091
256370.7727129082,-0.10939814
256380.7727144728,-0.10982581
256390.7727160375,-0.10906212
256400.7727176021,-0.10822588
256410.7727191667,-0.107508
256420.7727207313,-0.10650757
256430.772722296,-0.10665267
256440.7727238606,-0.10554532
256450.7727254252,-0.10575534
256460.7727269898,-0.10454489
256470.7727285544,-0.10327333
256480.7727301191,-0.10270438
256490.7727316837,-0.10207053
256500.7727332483,-0.1010319
256510.7727348129,-0.10109682
256520.7727363775,-0.10145575
256530.7727379422,-0.10187578
256540.7727395068,-0.099962734
