time/s,Ewe/V
7424.181856231386,-0.32041025
7424.233856230756,-0.31032574
7424.295456230015,-0.30030999
7424.493656227613,-0.29024264
7424.814256223734,-0.28015813
7425.474056215753,-0.27011704
7433.318656120769,-0.26011649
7463.318655757554,-0.25640112
7493.318655394338,-0.25452244
7523.318655031122,-0.25344566
7553.318654667906,-0.25256741
7583.31865430469,-0.25205955
7613.318653941475,-0.25168914
7643.318653578259,-0.25141039
7673.318653215043,-0.25113547
7703.318652851827,-0.25105911
7733.318652488611,-0.25092927
7763.318652125396,-0.25089872
7793.31865176218,-0.25078797
7823.318651398964,-0.25070399
7853.318651035748,-0.25067726
7883.318650672532,-0.25052452
7913.318650309317,-0.25042143
7943.318649946101,-0.25032979
7973.318649582885,-0.25026104
8003.318649219669,-0.25010449
8024.18184896707,-0.25000903
